Sensor at x=2208586, y=2744871: closest beacon is at x=2094814, y=3380585
Sensor at x=3937279, y=2452476: closest beacon is at x=3597034, y=2313095
Sensor at x=3535638, y=3151860: closest beacon is at x=4098735, y=3373876
Sensor at x=1867584, y=2125870: closest beacon is at x=2685670, y=2236965
Sensor at x=2290971, y=1583182: closest beacon is at x=2685670, y=2236965
Sensor at x=3137806, y=2216828: closest beacon is at x=3233556, y=2000000
Sensor at x=3393352, y=331000: closest beacon is at x=3233556, y=2000000
Sensor at x=1444302, y=821689: closest beacon is at x=1683873, y=-199301
Sensor at x=1084667, y=3412239: closest beacon is at x=2094814, y=3380585
Sensor at x=439341, y=3916996: closest beacon is at x=-290982, y=4102300
Sensor at x=295460, y=2114590: closest beacon is at x=362644, y=370187
Sensor at x=2212046, y=3819484: closest beacon is at x=2094814, y=3380585
Sensor at x=3413280, y=3862465: closest beacon is at x=4098735, y=3373876
Sensor at x=3744934, y=1572303: closest beacon is at x=3597034, y=2313095
Sensor at x=3349047, y=2522469: closest beacon is at x=3597034, y=2313095
Sensor at x=171415, y=591241: closest beacon is at x=362644, y=370187
Sensor at x=3237499, y=2150414: closest beacon is at x=3233556, y=2000000
Sensor at x=559077, y=454593: closest beacon is at x=362644, y=370187
Sensor at x=3030733, y=2047512: closest beacon is at x=3233556, y=2000000
Sensor at x=1667358, y=3956837: closest beacon is at x=2094814, y=3380585
Sensor at x=1850337, y=98963: closest beacon is at x=1683873, y=-199301
Sensor at x=2699546, y=3157824: closest beacon is at x=2094814, y=3380585
Sensor at x=1113195, y=98130: closest beacon is at x=1683873, y=-199301
Sensor at x=59337, y=246804: closest beacon is at x=362644, y=370187
Sensor at x=566043, y=29068: closest beacon is at x=362644, y=370187
Sensor at x=2831421, y=2581088: closest beacon is at x=2685670, y=2236965
Sensor at x=597818, y=749461: closest beacon is at x=362644, y=370187
